#,Year,Month,Constituency,CountyBoroughUniv,Franchise,ByElectionGeneral,ByElectionCause,Contested,ElectionCode,PollBookCode,Notes,Latitude,Longitude
11045,1812,Oct,Aldborough,B,Scot and Lot,G,,N,Aldborough_1812a,,,,
11046,1814,Aug,Aldborough,B,Scot and Lot,B,Vacated seat,N,Aldborough_1814a,,,,
11047,1815,May,Aldborough,B,Scot and Lot,B,Vacated seat,N,Aldborough_1815a,,,,
11048,1818,June,Aldborough,B,Scot and Lot,G,,N,Aldborough_1818a,,,,
11049,1820,Mar,Aldborough,B,Scot and Lot,G,,Y,Aldborough_1820a,,,,
11050,1826,June,Aldborough,B,Scot and Lot,G,,N,Aldborough_1826a,,,,
11051,1830,July,Aldborough,B,Scot and Lot,G,,N,Aldborough_1830a,,,,
11052,1831,Apr,Aldborough,B,Scot and Lot,G,,N,Aldborough_1831a,,,,
8262,1695,Oct,Aldeburgh,B,Freeman,G,,N,Aldeburgh_1695a,,,,
8263,1698,July,Aldeburgh,B,Freeman,G,,N,Aldeburgh_1698a,,,,
8264,1701,Jan,Aldeburgh,B,Freeman,G,,N,Aldeburgh_1701a,,,,
8265,1701,Nov,Aldeburgh,B,Freeman,G,,N,Aldeburgh_1701b,,,,
8266,1702,July,Aldeburgh,B,Freeman,G,,N,Aldeburgh_1702a,,,,
8267,1705,May,Aldeburgh,B,Freeman,G,,N,Aldeburgh_1705a,,,,
8268,1708,May,Aldeburgh,B,Freeman,G,,Y,Aldeburgh_1708a,,,,
8269,1710,Oct,Aldeburgh,B,Freeman,G,,N,Aldeburgh_1710a,,,,
8270,1713,Aug,Aldeburgh,B,Freeman,G,,Y,Aldeburgh_1713a,Aldeburgh_1713a/1,,,
8271,1715,Feb,Aldeburgh,B,Freeman,G,,Y,Aldeburgh_1715a,,,,
8272,1718,Nov,Aldeburgh,B,Freeman,B,Deceased,Y,Aldeburgh_1718a,,,,
8273,1719,Dec,Aldeburgh,B,Freeman,B,Deceased,Y,Aldeburgh_1719a,,,,
8274,1722,Mar,Aldeburgh,B,Freeman,G,,N,Aldeburgh_1722a,,,,
8275,1727,Aug,Aldeburgh,B,Freeman,G,,N,Aldeburgh_1727a,,,,
8276,1730,May,Aldeburgh,B,Freeman,B,Deceased,N,Aldeburgh_1730a,,,,
8277,1732,Jan,Aldeburgh,B,Freeman,B,Deceased,N,Aldeburgh_1732a,,,,
8278,1734,Apr,Aldeburgh,B,Freeman,G,,N,Aldeburgh_1734a,,,,
8279,1735,Feb,Aldeburgh,B,Freeman,B,Re-elected after appointment to office,N,Aldeburgh_1735a,,,,
8280,1741,Mar,Aldeburgh,B,Freeman,B,Deceased,N,Aldeburgh_1741a,,,,
