#,Year,Month,Constituency,CountyBoroughUniv,Franchise,ByElectionGeneral,ByElectionCause,Contested,ElectionCode,PollBookCode,Notes,Latitude,Longitude
4896,1771,Feb,Huntingdonshire,C,,B,Re-elected after appointment to office,N,Hunts_1771a,,,,
4897,1774,Oct,Huntingdonshire,C,,G,,N,Hunts_1774a,,,,
4898,1780,Sept,Huntingdonshire,C,,G,,N,Hunts_1780a,,,,
4899,1782,May,Huntingdonshire,C,,B,Re-elected after appointment to office,N,Hunts_1782a,,,,
4900,1783,May,Huntingdonshire,C,,B,Re-elected after appointment to office,N,Hunts_1783a,,,,
4901,1784,Apr,Huntingdonshire,C,,G,,N,Hunts_1784a,,,,
4902,1790,June,Huntingdonshire,C,,G,,N,Hunts_1790a,Hunts_1790a/1,,,
4903,1792,May,Huntingdonshire,C,,B,Called to the Upper House,N,Hunts_1792a,,,,
4904,1794,June,Huntingdonshire,C,,B,Vacated seat,N,Hunts_1794a,,,,
4905,1796,May,Huntingdonshire,C,,G,,N,Hunts_1796a,,,,
4906,1802,July,Huntingdonshire,C,,G,,N,Hunts_1802a,,,,
4907,1806,Nov,Huntingdonshire,C,,G,,N,Hunts_1806a,,,,
4908,1807,May,Huntingdonshire,C,,G,,Y,Hunts_1807a,Hunts_1807a/1,,,
4909,1812,Oct,Huntingdonshire,C,,G,,N,Hunts_1812a,,,,
4910,1814,June,Huntingdonshire,C,,B,Called to the Upper House,N,Hunts_1814a,,,,
4911,1818,June,Huntingdonshire,C,,G,,Y,Hunts_1818a,Hunts_1818a/1,,,
4912,1820,Mar,Huntingdonshire,C,,G,,N,Hunts_1820a,,,,
4913,1826,June,Huntingdonshire,C,,G,,Y,Hunts_1826a,Hunts_1826a/1,,,
4914,1830,Aug,Huntingdonshire,C,,G,,Y,Hunts_1830a,Hunts_1830a/1,,,
4915,1831,May,Huntingdonshire,C,,G,,Y,Hunts_1831a,Hunts_1831a/1,,,
5089,1695,Oct,Hythe,B,Freeman,G,,Y,Hythe_1695a,,,,
5090,1698,July,Hythe,B,Freeman,G,,N,Hythe_1698a,,,,
5091,1701,Jan,Hythe,B,Freeman,G,,N,Hythe_1701a,,,,
5092,1701,Nov,Hythe,B,Freeman,G,,N,Hythe_1701b,,,,
5093,1702,July,Hythe,B,Freeman,G,,N,Hythe_1702a,,,,
5094,1705,May,Hythe,B,Freeman,G,,N,Hythe_1705a,,,,
5095,1708,May,Hythe,B,Freeman,G,,Y,Hythe_1708a,,,,
5096,1710,Jan,Hythe,B,Freeman,B,Re-elected after appointment to office,N,Hythe_1710a,,,,
5097,1710,Oct,Hythe,B,Freeman,G,,Y,Hythe_1710b,,,,
5098,1712,July,Hythe,B,Freeman,B,Deceased,N,Hythe_1712a,,,,
5099,1713,Aug,Hythe,B,Freeman,G,,Y,Hythe_1713a,,,,
5100,1715,June,Hythe,B,Freeman,G,,Y,Hythe_1715a,,,,
5101,1722,Mar,Hythe,B,Freeman,G,,Y,Hythe_1722a,,,,
5102,1727,Aug,Hythe,B,Freeman,G,,Y,Hythe_1727a,,,,
5103,1728,Feb,Hythe,B,Freeman,B,Deceased,Y,Hythe_1728a,,,,
5104,1734,Apr,Hythe,B,Freeman,G,,N,Hythe_1734a,,,,
5105,1736,Apr,Hythe,B,Freeman,B,Re-elected after appointment to office,N,Hythe_1736a,,,,
5106,1737,July,Hythe,B,Freeman,B,Re-elected after appointment to office,N,Hythe_1737a,,,,
5107,1741,May,Hythe,B,Freeman,G,,N,Hythe_1741a,,,,
5108,1744,Dec,Hythe,B,Freeman,B,Deceased,N,Hythe_1744a,,,,
5109,1747,June,Hythe,B,Freeman,G,,N,Hythe_1747a,,,,
5110,1754,Apr,Hythe,B,Freeman,G,,N,Hythe_1754a,,,,
5111,1761,Mar,Hythe,B,Freeman,G,,N,Hythe_1761a,,,,
5112,1765,Dec,Hythe,B,Freeman,B,Re-elected after appointment to office,N,Hythe_1765a,,,,
5113,1766,Nov,Hythe,B,Freeman,B,Deceased,N,Hythe_1766a,,,,
5114,1768,Mar,Hythe,B,Freeman,G,,Y,Hythe_1768a,,,,
5115,1774,Oct,Hythe,B,Freeman,G,,Y,Hythe_1774a,,,,
5116,1780,Sept,Hythe,B,Freeman,G,,Y,Hythe_1780a,,,,
5117,1784,Apr,Hythe,B,Freeman,G,,Y,Hythe_1784a,,,,
5118,1790,June,Hythe,B,Freeman,G,,N,Hythe_1790a,,,,
5119,1796,May,Hythe,B,Freeman,G,,N,Hythe_1796a,,,,
5120,1798,Nov,Hythe,B,Freeman,B,Deceased,N,Hythe_1798a,,,,
5121,1802,July,Hythe,B,Freeman,G,,Y,Hythe_1802a,Hythe_1802a/1; Hythe_1802a/2; Hythe_1802a/3,,,
5122,1806,Oct,Hythe,B,Freeman,G,,Y,Hythe_1806a,,,,
5123,1807,May,Hythe,B,Freeman,G,,Y,Hythe_1807a,Hythe_1807a/1; Hythe_1807a/2,,,
5124,1810,Mar,Hythe,B,Freeman,B,Deceased,Y,Hythe_1810a,Hythe_1810a/1; Hythe_1810a/2,,,
5125,1812,Oct,Hythe,B,Freeman,G,,Y,Hythe_1812a,Hythe_1812a/1; Hythe_1812a/2,,,
5126,1818,June,Hythe,B,Freeman,G,,Y,Hythe_1818a,Hythe_1818a/1; Hythe_1818a/2,,,
5127,1819,May,Hythe,B,Freeman,B,Vacated seat,Y,Hythe_1819a,Hythe_1819a/1; Hythe_1819a/2,,,
5128,1820,Mar,Hythe,B,Freeman,G,,N,Hythe_1820a,,,,
5129,1826,June,Hythe,B,Freeman,G,,N,Hythe_1826a,,,,
5130,1830,Mar,Hythe,B,Freeman,B,Deceased,N,Hythe_1830a,,,,
5131,1830,Aug,Hythe,B,Freeman,G,,Y,Hythe_1830b,Hythe_1830b/1; Hythe_1830b/2,,,
5132,1831,Apr,Hythe,B,Freeman,G,,N,Hythe_1831a,,,,
7770,1695,Oct,Ilchester,B,Scot and Lot,G,,N,Ilchester_1695a,,,,
7771,1698,July,Ilchester,B,Scot and Lot,G,,N,Ilchester_1698a,,,,
7772,1701,Jan,Ilchester,B,Scot and Lot,G,,Y,Ilchester_1701a,,,,
7773,1701,Nov,Ilchester,B,Scot and Lot,G,,N,Ilchester_1701b,,,,
7774,1702,July,Ilchester,B,Scot and Lot,G,,Y,Ilchester_1702a,,,,
7775,1705,May,Ilchester,B,Householder,G,,N,Ilchester_1705a,,,,
7776,1708,May,Ilchester,B,Householder,G,,Y,Ilchester_1708a,,,,
7777,1710,Oct,Ilchester,B,Householder,G,,N,Ilchester_1710a,,,,
7778,1711,June,Ilchester,B,Householder,B,Appointed to office,N,Ilchester_1711a,,,,
7779,1711,June,Ilchester,B,Householder,B,Re-elected after appointment to office,N,Ilchester_1711b,,,,
7780,1713,Sept,Ilchester,B,Householder,G,,N,Ilchester_1713a,,,,
7781,1715,Feb,Ilchester,B,Householder,G,,Y,Ilchester_1715a,,,,
7782,1722,Mar,Ilchester,B,Householder,G,,Y,Ilchester_1722a,,,,
7783,1722,Dec,Ilchester,B,Householder,B,Appointed to office,N,Ilchester_1722b,,,,
7784,1727,Aug,Ilchester,B,Householder,G,,N,Ilchester_1727a,,,,
7785,1734,Apr,Ilchester,B,Householder,G,,Y,Ilchester_1734a,,,,
7786,1741,May,Ilchester,B,Householder,G,,N,Ilchester_1741a,,,,
7787,1747,June,Ilchester,B,Householder,G,,N,Ilchester_1747a,,,,
7788,1754,Apr,Ilchester,B,Householder,G,,N,Ilchester_1754a,,,,
7789,1755,Dec,Ilchester,B,Householder,B,Re-elected after appointment to office,N,Ilchester_1755a,,,,
7790,1756,Dec,Ilchester,B,Householder,B,Deceased,N,Ilchester_1756a,,,,
7791,1761,Mar,Ilchester,B,Householder,G,,Y,Ilchester_1761a,,,,
7792,1761,Dec,Ilchester,B,Householder,B,Chose to sit for another constituency,N,Ilchester_1761b,,,,
7793,1765,Apr,Ilchester,B,Householder,B,Deceased,Y,Ilchester_1765a,,,,
7794,1768,Mar,Ilchester,B,Householder,G,,N,Ilchester_1768a,,,,
7795,1774,Oct,Ilchester,B,Householder,G,,Y,Ilchester_1774a,,Election declared void.,,
7796,1775,Dec,Ilchester,B,Householder,B,Previous election declared void,Y,Ilchester_1775a,,Previous general election declared void.,,
7797,1780,Sept,Ilchester,B,Householder,G,,N,Ilchester_1780a,,,,
7798,1784,Apr,Ilchester,B,Householder,G,,Y,Ilchester_1784a,,,,
7799,1785,Feb,Ilchester,B,Householder,B,Deceased,Y,Ilchester_1785a,,,,
7800,1787,Feb,Ilchester,B,Householder,B,Vacated seat,N,Ilchester_1787a,,,,
7801,1790,June,Ilchester,B,Householder,G,,Y,Ilchester_1790a,,,,
7802,1796,May,Ilchester,B,Householder,G,,Y,Ilchester_1796a,,,,
7803,1799,May,Ilchester,B,Householder,B,Deceased,N,Ilchester_1799a,,,,
7804,1802,July,Ilchester,B,Householder,G,,Y,Ilchester_1802a,,Election declared void.,,
7805,1803,Apr,Ilchester,B,Householder,B,Previous election declared void,Y,Ilchester_1803a,,Previous general election declared void. Election of one member declared void.,,
7806,1804,Mar,Ilchester,B,Householder,B,Previous election declared void,Y,Ilchester_1804a,,Previous election of one member declared void.,,
7807,1806,Oct,Ilchester,B,Householder,G,,N,Ilchester_1806a,,,,
7808,1807,May,Ilchester,B,Householder,G,,N,Ilchester_1807a,,,,
7809,1812,Oct,Ilchester,B,Householder,G,,N,Ilchester_1812a,,,,
7810,1818,June,Ilchester,B,Householder,G,,Y,Ilchester_1818a,,,,
7811,1820,Mar,Ilchester,B,Householder,G,,Y,Ilchester_1820a,,,,
7812,1826,June,Ilchester,B,Householder,G,,Y,Ilchester_1826a,,,,
7813,1830,July,Ilchester,B,Householder,G,,Y,Ilchester_1830a,,,,
7814,1831,Apr,Ilchester,B,Householder,G,,N,Ilchester_1831a,,,,
8474,1695,Oct,Ipswich,B,Freeman,G,,Y,Ipswich_1695a,,,,
8475,1696,Nov,Ipswich,B,Freeman,B,Deceased,N,Ipswich_1696a,,,,
8476,1698,July,Ipswich,B,Freeman,G,,Y,Ipswich_1698a,,,,
8477,1701,Jan,Ipswich,B,Freeman,G,,Y,Ipswich_1701a,,,,
8478,1701,Dec,Ipswich,B,Freeman,G,,Y,Ipswich_1701b,,,,
8479,1702,July,Ipswich,B,Freeman,G,,Y,Ipswich_1702a,,,,
8480,1705,May,Ipswich,B,Freeman,G,,N,Ipswich_1705a,,,,
8481,1707,Nov,Ipswich,B,Freeman,B,Deceased,Y,Ipswich_1707a,,,,
8482,1708,May,Ipswich,B,Freeman,G,,Y,Ipswich_1708a,,,,
8483,1710,Oct,Ipswich,B,Freeman,G,,Y,Ipswich_1710a,,,,
8484,1713,Sept,Ipswich,B,Freeman,G,,Y,Ipswich_1713a,,,,
8485,1715,Jan,Ipswich,B,Freeman,G,,N,Ipswich_1715a,,,,
8486,1717,Feb,Ipswich,B,Freeman,B,Re-elected after appointment to office,N,Ipswich_1717a,,,,
8487,1717,Dec,Ipswich,B,Freeman,B,Appointed to office,N,Ipswich_1717b,,,,
8488,1722,Mar,Ipswich,B,Freeman,G,,N,Ipswich_1722a,,,,
8489,1726,May,Ipswich,B,Freeman,B,Re-elected after appointment to office,N,Ipswich_1726a,,,,
8490,1727,Aug,Ipswich,B,Freeman,G,,Y,Ipswich_1727a,,,,
8491,1730,Jan,Ipswich,B,Freeman,B,Appointed to office,Y,Ipswich_1730a,,,,
8492,1733,Jan,Ipswich,B,Freeman,B,Deceased,N,Ipswich_1733a,,,,
8493,1734,Apr,Ipswich,B,Freeman,G,,Y,Ipswich_1734a,,,,
8494,1741,May,Ipswich,B,Freeman,G,,Y,Ipswich_1741a,Ipswich_1741a/1; Ipswich_1741a/2,,,
8495,1747,June,Ipswich,B,Freeman,G,,N,Ipswich_1747a,,,,
8496,1754,Apr,Ipswich,B,Freeman,G,,N,Ipswich_1754a,,,,
8497,1757,Dec,Ipswich,B,Freeman,B,Deceased,N,Ipswich_1757a,,,,
8498,1759,Nov,Ipswich,B,Freeman,B,Deceased,N,Ipswich_1759a,,,,
8499,1761,Mar,Ipswich,B,Freeman,G,,N,Ipswich_1761a,,,,
8500,1762,Dec,Ipswich,B,Freeman,B,Re-elected after appointment to office,N,Ipswich_1762a,,,,
8501,1768,Mar,Ipswich,B,Freeman,G,,Y,Ipswich_1768a,Ipswich_1768a/1,,,
8502,1774,Oct,Ipswich,B,Freeman,G,,Y,Ipswich_1774a,,,,
8503,1780,Sept,Ipswich,B,Freeman,G,,Y,Ipswich_1780a,Ipswich_1780a/1,,,
8504,1784,Apr,Ipswich,B,Freeman,G,,Y,Ipswich_1784a,Ipswich_1784a/1,Election of one member declared void.,,
8505,1784,June,Ipswich,B,Freeman,B,Previous election declared void,Y,Ipswich_1784b,Ipswich_1784b/1,Previous election of one member declared void.,,
8506,1790,June,Ipswich,B,Freeman,G,,Y,Ipswich_1790a,Ipswich_1790a/1,,,
8507,1796,May,Ipswich,B,Freeman,G,,Y,Ipswich_1796a,,,,
8508,1802,July,Ipswich,B,Freeman,G,,N,Ipswich_1802a,,,,
8509,1803,Feb,Ipswich,B,Freeman,B,Deceased,N,Ipswich_1803a,,,,
8510,1806,Oct,Ipswich,B,Freeman,G,,Y,Ipswich_1806a,Ipswich_1806a/1,,,
8511,1807,May,Ipswich,B,Freeman,G,,Y,Ipswich_1807a,Ipswich_1807a/1; Ipswich_1807a/2; Ipswich_1807a/3,,,
8512,1812,Oct,Ipswich,B,Freeman,G,,N,Ipswich_1812a,,,,
8513,1818,July,Ipswich,B,Freeman,G,,Y,Ipswich_1818a,Ipswich_1818a/1; Ipswich_1818a/2,,,
8514,1820,Mar,Ipswich,B,Freeman,G,,Y,Ipswich_1820a,Ipswich_1820a/1; Ipswich_1820a/2,,,
8515,1826,June,Ipswich,B,Freeman,G,,Y,Ipswich_1826a,Ipswich_1826a/1,,,
8516,1830,Aug,Ipswich,B,Freeman,G,,Y,Ipswich_1830a,,,,
8517,1831,May,Ipswich,B,Freeman,G,,Y,Ipswich_1831a,Ipswich_1831a/1,,,
4959,1695,Nov,Kent,C,,G,,Y,Kent_1695a,,,,
4960,1698,July,Kent,C,,G,,N,Kent_1698a,,,,
4961,1701,Jan,Kent,C,,G,,N,Kent_1701a,,,,
4962,1701,Dec,Kent,C,,G,,Y,Kent_1701b,,,,
4963,1702,July,Kent,C,,G,,N,Kent_1702a,,,,
4964,1705,May,Kent,C,,G,,Y,Kent_1705a,,,,
4965,1708,May,Kent,C,,G,,Y,Kent_1708a,,,,
4966,1710,Jan,Kent,C,,B,Deceased,N,Kent_1710a,,,,
4967,1710,Oct,Kent,C,,G,,Y,Kent_1710b,,,,
4968,1711,June,Kent,C,,B,Deceased,N,Kent_1711a,,,,
4969,1713,Sept,Kent,C,,G,,Y,Kent_1713a,Kent_1713a/1; Kent_1713a/2,,,
4970,1715,Feb,Kent,C,,G,,Y,Kent_1715a,Kent_1715a/1,,,
4971,1715,Sept,Kent,C,,B,Deceased,N,Kent_1715b,,,,
4972,1722,Apr,Kent,C,,G,,N,Kent_1722a,Kent_1722a/1,,,
4973,1727,Sept,Kent,C,,G,,Y,Kent_1727a,Kent_1727a/1; Kent_1727a/2,,,
4974,1733,Apr,Kent,C,,B,Deceased,N,Kent_1733a,,,,
4975,1734,May,Kent,C,,G,,Y,Kent_1734a,Kent_1734a/1; Kent_1734a/2,,,
4976,1735,Feb,Kent,C,,B,Deceased,N,Kent_1735a,,,,
4977,1741,May,Kent,C,,G,,N,Kent_1741a,,,,
4978,1747,July,Kent,C,,G,,N,Kent_1747a,,,,
4979,1754,May,Kent,C,,G,,Y,Kent_1754a,Kent_1754a/1; Kent_1754a/2,,,
4980,1760,June,Kent,C,,B,Called to the Upper House,N,Kent_1760a,,,,
4981,1761,Apr,Kent,C,,G,,N,Kent_1761a,,,,
4982,1763,Nov,Kent,C,,B,Deceased,N,Kent_1763a,,,,
4983,1768,Mar,Kent,C,,G,,N,Kent_1768a,,,,
4984,1769,Feb,Kent,C,,B,Called to the Upper House,N,Kent_1769a,,,,
4985,1774,Oct,Kent,C,,G,,N,Kent_1774a,,,,
4986,1780,Sept,Kent,C,,G,,N,Kent_1780a,,,,
4987,1784,Apr,Kent,C,,G,,N,Kent_1784a,,,,
4988,1790,June,Kent,C,,G,,Y,Kent_1790a,Kent_1790a/1; Kent_1790a/2,,,
4989,1796,June,Kent,C,,G,,Y,Kent_1796a,Kent_1796a/1,,,
4990,1802,July,Kent,C,,G,,Y,Kent_1802a,Kent_1802a/1; Kent_1802a/2; Kent_1802a/3,,,
4991,1806,Nov,Kent,C,,G,,Y,Kent_1806a,Kent_1806a/1,,,
4992,1807,May,Kent,C,,G,,N,Kent_1807a,,,,
4993,1812,Oct,Kent,C,,G,,N,Kent_1812a,,,,
4994,1818,June,Kent,C,,G,,Y,Kent_1818a,Kent_1818a/1,,,
4995,1819,Nov,Kent,C,,B,Deceased,N,Kent_1819a,,,,
4996,1820,Mar,Kent,C,,G,,N,Kent_1820a,,,,
4997,1826,June,Kent,C,,G,,N,Kent_1826a,,,,
4998,1830,Aug,Kent,C,,G,,N,Kent_1830a,,,,
4999,1831,May,Kent,C,,G,,N,Kent_1831a,,,,
6364,1695,Oct,King's Lynn,B,Freeman,G,,N,KingsLynn_1695a,,,,
6365,1698,July,King's Lynn,B,Freeman,G,,N,KingsLynn_1698a,,,,
6366,1701,Jan,King's Lynn,B,Freeman,G,,N,KingsLynn_1701a,,,,
6367,1701,Nov,King's Lynn,B,Freeman,G,,N,KingsLynn_1701b,,,,
6368,1702,July,King's Lynn,B,Freeman,G,,N,KingsLynn_1702a,,,,
6369,1705,May,King's Lynn,B,Freeman,G,,N,KingsLynn_1705a,,,,
6370,1708,Mar,King's Lynn,B,Freeman,B,Re-elected after appointment to office,N,KingsLynn_1708a,,,,
6371,1708,May,King's Lynn,B,Freeman,G,,N,KingsLynn_1708b,,,,
6372,1710,Feb,King's Lynn,B,Freeman,B,Re-elected after appointment to office,N,KingsLynn_1710a,,,,
6373,1710,Oct,King's Lynn,B,Freeman,G,,N,KingsLynn_1710b,,,,
6374,1712,Feb,King's Lynn,B,Freeman,B,Expelled,Y,KingsLynn_1712a,,Robert Walpole re-elected after having been expelled the House.,,
6375,1712,Apr,King's Lynn,B,Freeman,B,Ineligible to sit,N,KingsLynn_1712b,,Robert Walpole declared incapable of being re-elected.,,
6376,1713,Aug,King's Lynn,B,Freeman,G,,N,KingsLynn_1713a,,,,
6377,1715,Jan,King's Lynn,B,Freeman,G,,N,KingsLynn_1715a,,,,
6378,1715,Nov,King's Lynn,B,Freeman,B,Re-elected after appointment to office,N,KingsLynn_1715b,,,,
6379,1720,June,King's Lynn,B,Freeman,B,Re-elected after appointment to office,N,KingsLynn_1720a,,One of two concurrent by-elections held in this constituency on this date (in order to elect two MPs).,,
6380,1720,June,King's Lynn,B,Freeman,B,Re-elected after appointment to office,N,KingsLynn_1720b,,One of two concurrent by-elections held in this constituency on this date (in order to elect two MPs).,,
6381,1721,Apr,King's Lynn,B,Freeman,B,Re-elected after appointment to office,N,KingsLynn_1721a,,,,
6382,1722,Mar,King's Lynn,B,Freeman,G,,N,KingsLynn_1722a,,,,
6383,1723,June,King's Lynn,B,Freeman,B,Re-elected after appointment to office,N,KingsLynn_1723a,,,,
6384,1727,Aug,King's Lynn,B,Freeman,G,,N,KingsLynn_1727a,,,,
6385,1730,May,King's Lynn,B,Freeman,B,Re-elected after appointment to office,N,KingsLynn_1730a,,,,
6386,1734,May,King's Lynn,B,Freeman,G,,N,KingsLynn_1734a,,,,
6387,1739,Feb,King's Lynn,B,Freeman,B,Deceased,N,KingsLynn_1739a,,,,
6388,1741,May,King's Lynn,B,Freeman,G,,N,KingsLynn_1741a,,,,
6389,1742,Feb,King's Lynn,B,Freeman,B,Called to the Upper House,N,KingsLynn_1742a,,,,
6390,1747,June,King's Lynn,B,Freeman,G,,Y,KingsLynn_1747a,KingsLynn_1747a/1; KingsLynn_1747a/2; KingsLynn_1747a/3,,,
6391,1754,Apr,King's Lynn,B,Freeman,G,,N,KingsLynn_1754a,,,,
6392,1757,Feb,King's Lynn,B,Freeman,B,Called to the Upper House,N,KingsLynn_1757a,,,,
6393,1761,Mar,King's Lynn,B,Freeman,G,,N,KingsLynn_1761a,,,,
6394,1762,June,King's Lynn,B,Freeman,B,Re-elected after appointment to office,N,KingsLynn_1762a,,,,
6395,1768,Mar,King's Lynn,B,Freeman,G,,Y,KingsLynn_1768a,KingsLynn_1768a/1; KingsLynn_1768a/2,,,
6396,1774,Oct,King's Lynn,B,Freeman,G,,N,KingsLynn_1774a,,,,
6397,1780,Sept,King's Lynn,B,Freeman,G,,N,KingsLynn_1780a,,,,
6398,1784,Apr,King's Lynn,B,Freeman,G,,Y,KingsLynn_1784a,KingsLynn_1784a/1,,,
6399,1790,June,King's Lynn,B,Freeman,G,,N,KingsLynn_1790a,,,,
6400,1796,May,King's Lynn,B,Freeman,G,,N,KingsLynn_1796a,,,,
6401,1802,July,King's Lynn,B,Freeman,G,,N,KingsLynn_1802a,,,,
6402,1806,Nov,King's Lynn,B,Freeman,G,,N,KingsLynn_1806a,,,,
6403,1807,May,King's Lynn,B,Freeman,G,,N,KingsLynn_1807a,,,,
6404,1809,Mar,King's Lynn,B,Freeman,B,Called to the Upper House,N,KingsLynn_1809a,,,,
6405,1811,June,King's Lynn,B,Freeman,B,Re-elected after appointment to office,N,KingsLynn_1811a,,,,
6406,1812,Oct,King's Lynn,B,Freeman,G,,N,KingsLynn_1812a,,,,
6407,1818,June,King's Lynn,B,Freeman,G,,N,KingsLynn_1818a,,,,
6408,1820,Mar,King's Lynn,B,Freeman,G,,N,KingsLynn_1820a,,,,
6409,1822,Jan,King's Lynn,B,Freeman,B,Deceased,N,KingsLynn_1822a,,,,
6410,1822,June,King's Lynn,B,Freeman,B,Called to the Upper House,Y,KingsLynn_1822b,KingsLynn_1822b/1; KingsLynn_1822b/2,,,
6411,1824,Mar,King's Lynn,B,Freeman,B,Deceased,Y,KingsLynn_1824a,KingsLynn_1824a/1,,,
6412,1826,June,King's Lynn,B,Freeman,G,,Y,KingsLynn_1826a,KingsLynn_1826a/1,,,
6413,1828,Feb,King's Lynn,B,Freeman,B,Vacated seat,N,KingsLynn_1828a,,,,
6414,1830,July,King's Lynn,B,Freeman,G,,Y,KingsLynn_1830a,,,,
6415,1831,May,King's Lynn,B,Freeman,G,,N,KingsLynn_1831a,,,,
11187,1695,Oct,Kingston-upon-Hull,B,Freeman,G,,Y,KingstonuponHull_1695a,,,,
11188,1698,July,Kingston-upon-Hull,B,Freeman,G,,N,KingstonuponHull_1698a,,,,
11189,1701,Jan,Kingston-upon-Hull,B,Freeman,G,,Y,KingstonuponHull_1701a,,,,
11190,1701,Dec,Kingston-upon-Hull,B,Freeman,G,,N,KingstonuponHull_1701b,,,,
11191,1702,July,Kingston-upon-Hull,B,Freeman,G,,N,KingstonuponHull_1702a,,,,
11192,1705,May,Kingston-upon-Hull,B,Freeman,G,,N,KingstonuponHull_1705a,,,,
11193,1708,May,Kingston-upon-Hull,B,Freeman,G,,N,KingstonuponHull_1708a,,,,
11194,1710,Oct,Kingston-upon-Hull,B,Freeman,G,,N,KingstonuponHull_1710a,,,,
11195,1713,Sept,Kingston-upon-Hull,B,Freeman,G,,N,KingstonuponHull_1713a,,,,
11196,1715,Feb,Kingston-upon-Hull,B,Freeman,G,,N,KingstonuponHull_1715a,,,,
11197,1717,Mar,Kingston-upon-Hull,B,Freeman,B,Deceased,N,KingstonuponHull_1717a,,,,
11198,1720,July,Kingston-upon-Hull,B,Freeman,B,Re-elected after appointment to office,N,KingstonuponHull_1720a,,,,
11199,1722,Mar,Kingston-upon-Hull,B,Freeman,G,,Y,KingstonuponHull_1722a,,,,
11200,1724,Jan,Kingston-upon-Hull,B,Freeman,B,Deceased,Y,KingstonuponHull_1724a,KingstonuponHull_1724a/1,,,
11201,1727,Aug,Kingston-upon-Hull,B,Freeman,G,,Y,KingstonuponHull_1727a,,,,
11202,1733,Mar,Kingston-upon-Hull,B,Freeman,B,Re-elected after appointment to office,N,KingstonuponHull_1733a,,,,
11203,1734,Feb,Kingston-upon-Hull,B,Freeman,B,Deceased,N,KingstonuponHull_1734a,,,,
11204,1734,May,Kingston-upon-Hull,B,Freeman,G,,Y,KingstonuponHull_1734b,,,,
11205,1738,May,Kingston-upon-Hull,B,Freeman,B,Re-elected after appointment to office,N,KingstonuponHull_1738a,,,,
11206,1741,May,Kingston-upon-Hull,B,Freeman,G,,N,KingstonuponHull_1741a,,,,
11207,1744,May,Kingston-upon-Hull,B,Freeman,B,Deceased,N,KingstonuponHull_1744a,,,,
11208,1747,June,Kingston-upon-Hull,B,Freeman,G,,Y,KingstonuponHull_1747a,KingstonuponHull_1747a/1; KingstonuponHull_1747a/2,,,
11209,1754,Apr,Kingston-upon-Hull,B,Freeman,G,,Y,KingstonuponHull_1754a,,,,
11210,1757,July,Kingston-upon-Hull,B,Freeman,B,Deceased,N,KingstonuponHull_1757a,,,,
11211,1761,Mar,Kingston-upon-Hull,B,Freeman,G,,N,KingstonuponHull_1761a,,,,
11212,1766,Mar,Kingston-upon-Hull,B,Freeman,B,Appointed to office,N,KingstonuponHull_1766a,,,,
11213,1768,Mar,Kingston-upon-Hull,B,Freeman,G,,Y,KingstonuponHull_1768a,KingstonuponHull_1768a/1,,,
11214,1774,Oct,Kingston-upon-Hull,B,Freeman,G,,Y,KingstonuponHull_1774a,KingstonuponHull_1774a/1,,,
11215,1780,Sept,Kingston-upon-Hull,B,Freeman,G,,Y,KingstonuponHull_1780a,KingstonuponHull_1780a/1,,,
11216,1782,June,Kingston-upon-Hull,B,Freeman,B,Deceased,N,KingstonuponHull_1782a,,,,
11217,1784,Mar,Kingston-upon-Hull,B,Freeman,G,,Y,KingstonuponHull_1784a,KingstonuponHull_1784a/1,,,
11218,1784,June,Kingston-upon-Hull,B,Freeman,B,Chose to sit for another constituency,N,KingstonuponHull_1784b,,,,
11219,1790,June,Kingston-upon-Hull,B,Freeman,G,,N,KingstonuponHull_1790a,,,,
11220,1796,May,Kingston-upon-Hull,B,Freeman,G,,Y,KingstonuponHull_1796a,KingstonuponHull_1796a/1,,,
11221,1802,July,Kingston-upon-Hull,B,Freeman,G,,Y,KingstonuponHull_1802a,KingstonuponHull_1802a/1,,,
11222,1806,Oct,Kingston-upon-Hull,B,Freeman,G,,Y,KingstonuponHull_1806a,KingstonuponHull_1806a/1; KingstonuponHull_1806a/2,,,
11223,1807,May,Kingston-upon-Hull,B,Freeman,G,,N,KingstonuponHull_1807a,,,,
11224,1812,Oct,Kingston-upon-Hull,B,Freeman,G,,Y,KingstonuponHull_1812a,KingstonuponHull_1812a/1,,,
11225,1818,July,Kingston-upon-Hull,B,Freeman,G,,Y,KingstonuponHull_1818a,KingstonuponHull_1818a/1; KingstonuponHull_1818a/2,,,
11226,1820,Mar,Kingston-upon-Hull,B,Freeman,G,,N,KingstonuponHull_1820a,,,,
11227,1826,June,Kingston-upon-Hull,B,Freeman,G,,Y,KingstonuponHull_1826a,KingstonuponHull_1826a/1,,,
11228,1830,July,Kingston-upon-Hull,B,Freeman,G,,Y,KingstonuponHull_1830a,KingstonuponHull_1830a/1; KingstonuponHull_1830a/2,,,
11229,1831,Apr,Kingston-upon-Hull,B,Freeman,G,,N,KingstonuponHull_1831a,,,,
11230,1695,Oct,Knaresborough,B,Burgage,G,,N,Knaresborough_1695a,,,,
11231,1698,July,Knaresborough,B,Burgage,G,,N,Knaresborough_1698a,,,,
11232,1701,Jan,Knaresborough,B,Burgage,G,,N,Knaresborough_1701a,,,,
11233,1701,Nov,Knaresborough,B,Burgage,G,,N,Knaresborough_1701b,,,,
