PollBookCode,PrintMS,Citation,Holdings,Source,ElectionCode,Notes
Warwick_1792a/1,P,"The poll of the burgesses… (Warwick: J. Sharp, [1792])","Bodl., IHR",Sims; Gibson and Rogers,Warwick_1792a,
Warwick_1831a/1,P,"The poll of the burgesses… (Warwick: John Merridew & W. Rose, [1831])","Var. Warwickshire RO, BL, Bodl., CUL, GL, IHR, SoG",Sims; Gibson and Rogers; Edwards,Warwick_1831a,
Warwick_1831a/2,P,"The poll of the burgesses… (Warwick: E. Heathcote, 1831)","Var. Warwickshire RO, BL, Bodl., CUL, GL, IHR, SoG",Sims; Gibson and Rogers; Edwards,Warwick_1831a,
Westm_1701a/1,M,Bagot MSS,"Levens Hall, Westmorland",Speck,Westm_1701a,
Westm_1701b/1,M,Bagot MSS,"Levens Hall, Westmorland",Speck,Westm_1701b,
Westm_1702a/1,M,Bagot MSS,"Levens Hall, Westmorland",Speck,Westm_1702a,
Westm_1702a/2,M,WDCAT/MUS/2,Kendal Archive Centre,Green Notes; Gibson and Rogers,Westm_1702a,Possibly printed poll book.
Westm_1708a/1,M,Bagot MSS,"Levens Hall, Westmorland",Speck,Westm_1708a,
Westm_1741a/1,M,WDCAT/MUS/2,Kendal Archive Centre,Green Notes; Gibson and Rogers,Westm_1741a,Possibly printed poll book.
Westm_1761a/1,M,WDHOTH/3/31,Kendal Archive Centre,Gibson and Rogers,Westm_1761a,
Westm_1761a/2,M,WYL96,West Yorkshire Archive Service (Leeds),Green Notes,Westm_1761a,
Westm_1768a/1,P,"The poll for knights… (Kendal: James Ashburner, [1768])","Bodl., Carlisle CL, GL, IHR, SoG",Sims; Gibson and Rogers; Edwards,Westm_1768a,
Westm_1768a/2,M,WDHOTH/3/31,Kendal Archive Centre,Gibson and Rogers,Westm_1768a,
Westm_1774a/1,P,"The poll for knights… (Kendal, [1774])","Bodl., IHR",Sims; Gibson and Rogers,Westm_1774a,
Westm_1818a/1,P,"The poll for knights… (Kendal: Airey & Bellingham, 1818)","Var. Carlisle Archive Centre, Carlisle CL, Bodl., GL, IHR, SoG",Sims; Gibson and Rogers; Edwards,Westm_1818a,
Westm_1818a/2,P,"Correct edition. The poll for knights… (Kendal: R. Lough, [1818])","Var. Carlisle Archive Centre, Carlisle CL, Bodl., GL, IHR, SoG",Sims; Gibson and Rogers; Edwards,Westm_1818a,
Westm_1820a/1,P,"The poll for knights… (Kendal: John Kilner, [1820])","Var. Barrow Library, Carlisle CL, Carlisle Archive Centre, Kendal Archive Centre, IHR, BL, Bodl., GL, SoG",Sims; Gibson and Rogers; Edwards,Westm_1820a,
Westm_1820a/2,P,"The poll for knights… (Kendal: Richard Lough, [1820])","Var. Barrow Library, Carlisle CL, Carlisle Archive Centre, Kendal Archive Centre, IHR, BL, Bodl., GL, SoG",Sims; Gibson and Rogers; Edwards,Westm_1820a,
Westm_1826a/1,P,"The poll for knights… (Kendal: Tyras Redhead, [1826])","Var. Carlisle CL, Kendal Archive Centre, Carlisle Archive Centre, GL, IHR, SoG",Sims; Gibson and Rogers; Edwards,Westm_1826a,
Westm_1826a/2,P,"The poll for knights… (Kendal: Richard Lough, [1826])","Var. Carlisle CL, Kendal Archive Centre, Carlisle Archive Centre, GL, IHR, SoG",Sims; Gibson and Rogers; Edwards,Westm_1826a,
Westm_1826a/3,M,WDBIG/1/95,Kendal Archive Centre,Green Notes,Westm_1826a,
Appleby_1701a/1,M,WDHOTH/3/38/3,Kendal Archive Centre,Green Notes; Gibson and Rogers,Appleby_1701a,
Appleby_1701b/1,M,WDHOTH/3/38/3,Kendal Archive Centre,Green Notes; Gibson and Rogers,Appleby_1701b,
Appleby_1702a/1,M,WDHOTH/3/38/3,Kendal Archive Centre,Green Notes; Gibson and Rogers,Appleby_1702a,
Appleby_1708a/1,M,WDHOTH/3/38/3,Kendal Archive Centre,Green Notes; Gibson and Rogers,Appleby_1708a,
Appleby_1710a/1,M,WDHOTH/3/38/3,Kendal Archive Centre,Green Notes; Gibson and Rogers,Appleby_1710a,
Appleby_1713a/1,M,WDHOTH/3/38/3,Kendal Archive Centre,Green Notes; Gibson and Rogers,Appleby_1713a,
Appleby_1723a/1,M,WDHOTH/3/38/3,Kendal Archive Centre,Green Notes; Gibson and Rogers,Appleby_1723a,
Appleby_1754a/1,M,WDHOTH/3/36-7,Kendal Archive Centre,Gibson and Rogers,Appleby_1754a,
Appleby_1754a/2,M,Lowther MSS,Carlisle Archive Centre,Gibson and Rogers,Appleby_1754a,
Appleby_1796a/1,M,WDHOTH/3/39,Kendal Archive Centre,Gibson and Rogers,Appleby_1796a,Voting intention only.
Wilts_1705a/1,P,"A true copy of the poll… (London, 1705)","GL, IHR, SoG",Sims; Gibson and Rogers; Edwards,Wilts_1705a,
Wilts_1705a/2,M,931/1,Wiltshire and Swindon History Centre,Green Notes; Gibson and Rogers,Wilts_1705a,
Wilts_1772a/1,P,"The poll of the freeholders… (Salisbury: E. Easton, 1772)","Wiltshire and Swindon History Centre, BL, Bodl., GL, IHR, Manchester UL, SoG",Sims; Gibson and Rogers,Wilts_1772a,
Wilts_1772a/2,P,"An alphabetical list, of the names of the persons who polled… (Salisbury: E. Easton, [1772])","BL, Bodl.",Green Notes,Wilts_1772a,
Wilts_1772a/3,M,490/1378,Wiltshire and Swindon History Centre,Gibson and Rogers,Wilts_1772a,
Wilts_1818a/1,P,"The poll for the election… (Salisbury: Brodie & Dowding, [1818])","Wiltshire Museum, BL, Bodl., GL, IHR, Manchester UL, SoG",Sims; Gibson and Rogers; Edwards,Wilts_1818a,
Wilts_1818a/2,M,740/48,Wiltshire and Swindon History Centre,Gibson and Rogers,Wilts_1818a,
Wilts_1819a/1,P,"The poll of the freeholders… by G. Butt… (Salisbury: Brodie & Dowding, [1819])","Wiltshire Museum, BL, GL, IHR",Sims; Gibson and Rogers,Wilts_1819a,
Wilts_1819a/2,M,740/48,Wiltshire and Swindon History Centre,Gibson and Rogers,Wilts_1819a,
Calne_1701a/1,M,G18/1/1,Wiltshire and Swindon History Centre,HoP,Calne_1701a,
Calne_1715a/1,M,G18/1/11,Wiltshire and Swindon History Centre,Green Notes,Calne_1715a,
Calne_1722a/1,M,G18/1/11,Wiltshire and Swindon History Centre,Green Notes,Calne_1722a,
Calne_1734a/1,M,G18/1/11,Wiltshire and Swindon History Centre,Green Notes,Calne_1734a,
Calne_1780a/1,M,G18/1/11,Wiltshire and Swindon History Centre,Green Notes,Calne_1780a,
Chippenham_1818a/1,M,1171/28,Wiltshire and Swindon History Centre,Green Notes,Chippenham_1818a,
Cricklade_1710a/1,M,"Add. MS 51319, ff. 197-8",BL,Speck,Cricklade_1710a,
Cricklade_1784a/1,P,,"Swindon CL, GL, SoG",Gibson and Rogers; Edwards,Cricklade_1784a,
Cricklade_1784a/2,M,2831/1,Wiltshire and Swindon History Centre,Green Notes,Cricklade_1784a,
Cricklade_1784a/3,M,1461/1369,Wiltshire and Swindon History Centre,Green Notes,Cricklade_1784a,
Cricklade_1790b/1,M,D1571/X10,Gloucestershire Archives,Green Notes,Cricklade_1790b,
Cricklade_1802a/1,M,2831/5,Wiltshire and Swindon History Centre,Green Notes,Cricklade_1802a,
Cricklade_1802a/2,M,2831/14,Wiltshire and Swindon History Centre,Green Notes,Cricklade_1802a,
Cricklade_1802a/3,M,Elwell MSS,Cricklade History Society Museum,HoP,Cricklade_1802a,
Cricklade_1806a/1,M,2831/10,Wiltshire and Swindon History Centre,Green Notes,Cricklade_1806a,
Cricklade_1806a/2,M,2831/15,Wiltshire and Swindon History Centre,Green Notes,Cricklade_1806a,Agent's memo canvass and poll books.
Cricklade_1806a/3,M,Elwell MSS,Cricklade History Society Museum,HoP,Cricklade_1806a,
Cricklade_1818a/1,M,2831/26,Wiltshire and Swindon History Centre,Green Notes,Cricklade_1818a,
Cricklade_1818a/2,M,Elwell MSS,Cricklade History Society Museum,HoP,Cricklade_1818a,
Cricklade_1818a/3,M,Pleydell Bouverie MSS,Berkshire RO,HoP; Gibson and Rogers,Cricklade_1818a,
Cricklade_1831a/1,P,"The poll of the freeholders and other electors… (Highworth: Joseph Ricketts, [1831])","Swindon CL, IHR",Sims; Gibson and Rogers,Cricklade_1831a,
Downton_1701a/1,M,490/1298,Wiltshire and Swindon History Centre,HoP,Downton_1701a,
Downton_1747b/1,M,490/955,Wiltshire and Swindon History Centre,Green Notes,Downton_1747b,
Hindon_1702a/1,M,Jervoise MSS,Hampshire RO,HoP; Green Notes,Hindon_1702a,
Hindon_1704a/1,M,Jervoise MSS,Hampshire RO,HoP,Hindon_1704a,
Hindon_1705a/1,M,Jervoise MSS,Hampshire RO,HoP,Hindon_1705a,
Hindon_1774a/1,P,"A poll taken at the election... 10th October 1774', Report from the select committee appointed to try and determine the merits of the petition of James Calthorpe, Esq., and Richard Beckford, Esq. (1775)","BL, IHR",Green,Hindon_1774a,
Ludgershall_1710a/1,M,3898/1,Wiltshire and Swindon History Centre,Green Notes,Ludgershall_1710a,
Salisbury_1705a/1,M,Fox-Strangways MSS,Dorset History Centre,HoP,Salisbury_1705a,
Salisbury_1713a/1,M,Fox-Strangways MSS,Dorset History Centre,HoP,Salisbury_1713a,
Salisbury_1765a/1,P,"A true and exact copy of the poll…', Public Advertiser (11 Feb. 1765)","BL, IHR",Sims; Gibson and Rogers,Salisbury_1765a,
Salisbury_1768a/1,P,"The poll for members to represent the city of New Sarum... ([?Salisbury], 1768)",BL,Green,Salisbury_1768a,
WoottonBassett_1790a/1,M,A1/340/2,Wiltshire and Swindon History Centre,Green Notes; Gibson and Rogers,WoottonBassett_1790a,
Worcs_1705a/1,M,,Birmingham CL,Gibson and Rogers,Worcs_1705a,c.1705.
Worcs_1713a/1,M,,Worcestershire Archives,Green Notes; Gibson and Rogers,Worcs_1713a,
Worcs_1715a/1,P,"A copy of the poll… taken the second and third days of February, in the year 1714… (Worcester: S. Bryan, 1715)","Kidderminster CL, Worcestershire Archives, GL",Sims; Gibson and Rogers,Worcs_1715a,
Worcs_1741a/1,P,"A copy of the poll… (n.p., 1741)","Birmingham CL, Worcestershire Archives, Bodl., IHR, SoG",Sims; Gibson and Rogers; Edwards,Worcs_1741a,
Worcs_1806a/1,M,,GL,Gibson and Rogers,Worcs_1806a,
Worcs_1831a/1,M,1/7/4/1,Worcestershire Archives,Green Notes; Gibson and Rogers,Worcs_1831a,
Bewdley_1768a/1,M,151/4365,Shropshire Archives,Green Notes,Bewdley_1768a,
Evesham_1780a/1,P,,SoG,Gibson and Rogers; Edwards,Evesham_1780a,
Evesham_1818a/1,P,,Worcestershire Archives,Gibson and Rogers,Evesham_1818a,
Evesham_1818a/2,M,,Birmingham CL,Green Notes,Evesham_1818a,
Evesham_1826a/1,P,,Birmingham CL,Green Notes,Evesham_1826a,
Evesham_1831a/1,P,Berrow’s Worcester Journal (12 May 1831),BL,Green Notes,Evesham_1831a,
Worcester_1741a/1,P,"A correct copy of the poll… (n.p., 1741)","Birmingham CL, IHR",Sims; Gibson and Rogers,Worcester_1741a,
