PollBookCode,PrintMS,Citation,Holdings,Source,ElectionCode,Notes
Glos_1776a/3,M,Q/Rep 3,Gloucestershire Archives,Gibson and Rogers,Glos_1776a,
Glos_1789a/1,M,Q/Rep 4,Gloucestershire Archives,Gibson and Rogers,Glos_1789a,Unopposed.
Glos_1811a/1,P,"Copies from the sheriff's books. The poll at the election… (Gloucester: D. Walker, 1811)","Bristol Archives, Gloucester CL, Gloucestershire Archives, BL, Bodl., GL",Sims; Gibson and Rogers,Glos_1811a,
Bristol_1715a/1,P,"A true and exact list of the inhabitants… who poll'd for Philip Freke and Thomas Edwards… (Bristol: W. Bonny, 1715)","Bristol Archives, GL, IHR, SoG, College of Arms",Sims; Gibson and Rogers; Edwards,Bristol_1715a,Votes for Philip Freke and Thomas Edwards only.
Bristol_1722a/1,P,"The list of the votes… (Bristol: Joseph Penn, 1722)","Bristol CL, BL, Bristol Archives, Bristol Museum, GL, IHR, SoG (also index to non-resident voters)",Sims; Gibson and Rogers; Edwards,Bristol_1722a,"Reprinted in An Exact List of the Votes of the Freeholders and Freemen of the City and County of Bristol (Bristol: Henry Hill, 1899)"
Bristol_1734a/1,P,"A list of the freeholders and freemen… (Bristol: Felix Farley, [1734])","Var. Bristol CL, Bristol Archives, BL, Bodl., GL, IHR",Sims; Gibson and Rogers,Bristol_1734a,
Bristol_1734a/2,P,"An alphabetical list of the freeholders… (London, 1734)","Var. Bristol CL, Bristol Archives, BL, Bodl., GL, IHR",Sims; Gibson and Rogers,Bristol_1734a,
Bristol_1739a/1,P,"The poll book. Being a list of the freeholders and freemen… (Bristol: Felix Farley, [1739])","Bristol CL, Bristol Archives, IHR",Sims; Gibson and Rogers,Bristol_1739a,
Bristol_1754a/1,P,"The Bristol poll book… (Bristol: E. Farley, [1754])","Var. Bristol CL, Bristol Archives, BL, GL, IHR, SoG (also index to non-resident voters)",Sims; Gibson and Rogers; Edwards,Bristol_1754a,Two editions known.
Bristol_1754a/2,P,"A genuine list of the freeholders and freemen… (Bristol: T. Cadell & E. Ward, 1755)","Var. Bristol CL, Bristol Archives, BL, GL, IHR, SoG (also index to non-resident voters)",Sims; Gibson and Rogers; Edwards,Bristol_1754a,
Bristol_1774a/1,P,"The Bristol poll book… (n.p., [1774])","Var. Bristol CL, BL, Bristol Archives, GL, IHR, SoG",Sims; Gibson and Rogers; Edwards,Bristol_1774a,
Bristol_1774a/2,P,"The Bristol poll book… (Bristol: W. Pine, [1774])","Var. Bristol CL, BL, Bristol Archives, GL, IHR, SoG",Sims; Gibson and Rogers; Edwards,Bristol_1774a,
Bristol_1781a/1,P,"The Bristol poll book… (n.p., [1781])","Bristol CL, Bristol Archives, BL, GL, IHR, SoG",Sims; Gibson and Rogers; Edwards,Bristol_1781a,
Bristol_1784a/1,P,"The Bristol poll book… (Bristol: William Pine, [1784])","Bristol CL, Bristol Archives, IHR",Sims; Gibson and Rogers,Bristol_1784a,
Bristol_1812b/1,P,"The Bristol poll book… (Bristol: J. Mills, 1818)","Bristol CL, Bristol Archives, BL, GL, IHR, SoG",Sims; Gibson and Rogers; Edwards,Bristol_1812b,
Bristol_1818a/1,M,MS 06620,Bristol Archives ,Gibson and Rogers,Bristol_1818a,Uncertain.
Bristol_1820a/1,M,,Bristol Archives ,Gibson and Rogers,Bristol_1820a,Uncertain.
Bristol_1830a/1,P,"The Bristol poll book… (Bristol: Philip Rose, 1830)","Bristol CL, Bristol Archives, GL, IHR, SoG",Sims; Gibson and Rogers; Edwards,Bristol_1830a,
Cirencester_1768a/1,P,"The poll of the borough… (Cirencester: S. Rudder, [1768])","Gloucester CL, Gloucestershire Archives, IHR",Sims; Gibson and Rogers,Cirencester_1768a,
Cirencester_1790b/1,P,"The book of the poll… (Cirencester: S. Rudder, [1790])","Gloucester CL, IHR",Sims; Gibson and Rogers,Cirencester_1790b,
Cirencester_1802a/1,P,"The book of the poll… (Cirencester: J. Turner, [1802])","Var. Cirencester CL, Gloucester CL, GL, IHR",Sims; Gibson and Rogers,Cirencester_1802a,
Cirencester_1802a/2,P,"The book of the poll… (Cirencester: T. Stevens, [1802])","Var. Cirencester CL, Gloucester CL, GL, IHR",Sims; Gibson and Rogers,Cirencester_1802a,
Cirencester_1812a/1,P,"The book of the poll… (Cirencester: P. Watkins, 1812)","Cirencester CL, Gloucester CL, IHR",Sims; Gibson and Rogers,Cirencester_1812a,
Gloucester_1741a/1,P,"An alphabet of the poll… (London, 1741)","Gloucester CL, IHR",Sims; Gibson and Rogers,Gloucester_1741a,
Gloucester_1816a/1,P,"Gloucester election. A list of the freemen… (Gloucester: Walker & Sons, [1816])","Var. Gloucester CL, BL, IHR",Sims; Gibson and Rogers,Gloucester_1816a,
Gloucester_1816a/2,P,"Gloucester election. A list of the freemen… (Gloucester: J. Roberts, 1816)","Var. Gloucester CL, BL, IHR",Sims; Gibson and Rogers,Gloucester_1816a,
Gloucester_1818a/1,P,"Gloucester city election, 1818. Local arrangement of the poll… (Gloucester: J. Roberts, 1826)","Var. Gloucester CL, GL, IHR, SoG",Sims; Gibson and Rogers; Edwards,Gloucester_1818a,
Gloucester_1818a/2,P,"Gloucester city election, 1818. Alphabetical list of the poll… (Gloucester: J. Roberts, [1818])","Var. Gloucester CL, GL, IHR, SoG",Sims; Gibson and Rogers; Edwards,Gloucester_1818a,
Gloucester_1818a/3,P,"Gloucester city election, 1818. Alphabetical list of the poll… (Gloucester: Walker & Sons, [1818])","Var. Gloucester CL, GL, IHR, SoG",Sims; Gibson and Rogers; Edwards,Gloucester_1818a,Same printing as [Gloucester_1818a/2] with different title page.
Gloucester_1830a/1,P,"Gloucester city election, 1830. List of the poll… (Gloucester: D. Walker, [1830])","Var. Gloucester CL, GL, IHR, Bristol and Gloucestershire Archaeological Society",Sims; Gibson and Rogers,Gloucester_1830a,
Gloucester_1830a/2,P,"Alphabetical list of the poll… (Gloucester: Joseph Roberts, [1830])","Var. Gloucester CL, GL, IHR, Bristol and Gloucestershire Archaeological Society",Sims; Gibson and Rogers,Gloucester_1830a,
Tewkesbury_1734a/1,M,,Worcestershire RO,Green Notes,Tewkesbury_1734a,
Tewkesbury_1797a/1,M,TBR/B15,Gloucestershire Archives,Green Notes,Tewkesbury_1797a,
Tewkesbury_1797a/2,M,D1610/X17,Gloucestershire Archives,Gibson and Rogers,Tewkesbury_1797a,
Tewkesbury_1831a/1,P,"Tewkesbury election, 1831. A list of the poll… (Tewkesbury: James Bennett, [1831])","Gloucester CL, Gloucestershire Archives, GL",Sims; Gibson and Rogers,Tewkesbury_1831a,
Hants_1702a/1,M,44M69/G2/230,Hampshire RO,Green Notes,Hants_1702a,
Hants_1705a/1,P,"A true copy of the poll… (London, 1705)","Southampton UL, Isle of Wight RO, IHR, BL",Sims; Gibson and Rogers,Hants_1705a,
Hants_1705a/2,M,44M69/G2/240-2,Hampshire RO,Green Notes,Hants_1705a,
Hants_1708a/1,M,44M69/G2/257-8,Hampshire RO,Green Notes,Hants_1708a,
Hants_1708a/2,M,44M69/G2/252,Hampshire RO,Green Notes,Hants_1708a,
Hants_1710a/1,P,"The poll at the election… (London: Geo. James, 1714)","Bodl., IHR",Sims; Gibson and Rogers,Hants_1710a,
Hants_1713a/1,P,"A true copy of the poll… (London: Thomas Lewis, 1714)","Hampshire RO, Isle of Wight RO, BL, Bodl., IHR",Sims; Gibson and Rogers,Hants_1713a,
Hants_1734a/1,P,"An exact list of the names… (London, 1736)","Isle of Wight RO, Winchester CL, GL",Sims; Gibson and Rogers,Hants_1734a,
Hants_1734a/2,M,44M69/G2/281,Hampshire RO,Green,Hants_1734a,This could be a copy of the printed poll book.
Hants_1779a/1,P,"County of Southampton. A true copy of the poll book… (London, 1780)","Hampshire RO, Isle of Wight RO (I.o.W. voters only), Bodl., GL",Sims; Gibson and Rogers,Hants_1779a,
Hants_1780a/1,P,"A collection of all the handbills … together with the poll of each division (Winchester: John Wilkes, 1780)",Bodl.,Green Notes,Hants_1780a,Possibly for the 1779 by election.
Hants_1790a/1,P,"The poll for the election… (Romsey: J. S. Hollis, [1790])","Hampshire RO, Isle of Wight RO, Bodl., GL, IHR, SoG",Sims; Gibson and Rogers,Hants_1790a,
Hants_1806a/1,P,"The poll for the election… (Romsey & Winchester: J. S. Hollis & W. Jacob, [1806])","Hampshire RO, GL, IHR",Sims; Gibson and Rogers,Hants_1806a,
Hants_1807a/1,P,"The poll for the election… (Winchester: W. Jacob, [1807])","Southampton UL, GL, IHR",Sims; Gibson and Rogers,Hants_1807a,
Andover_1727a/1,M,20M50/15,Hampshire RO,Gibson and Rogers,Andover_1727a,
Andover_1761a/1,M,20M50/16,Hampshire RO,Gibson and Rogers,Andover_1761a,
Christchurch_1727a/1,P,"A poll taken… The case of Mr. Richard Holoway… (n.p., 1727)","Hampshire RO, Southampton UL, BL, Bodl., IHR",Sims; Gibson and Rogers,Christchurch_1727a,
Christchurch_1727a/2,M,9M73/G647/2,Hampshire RO,Green Notes,Christchurch_1727a,This could be a copy of the printed poll book.
Christchurch_1734a/1,M,9M73/G286/5,Hampshire RO,Green Notes,Christchurch_1734a,
NewtownIoW_1768a/1,M,JER/BAR/3/9/118,Isle of Wight RO ,Green Notes,NewtownIoW_1768a,
NewtownIoW_1784b/1,M,JER/BAR/3/9/62,Isle of Wight RO ,Green Notes,NewtownIoW_1784b,
Petersfield_1727a/1,P,"Case of the borough of Petersfield in the county of Southampton (London: Thomas Davison, 1831), 294-301.",,Green Notes,Petersfield_1727a,Reprinted in Case of the Borough of Petersfield in the County of Southampton (London: Thomas Davison 1831)
Petersfield_1727a/2,M,DD/HY/8/2/4,Somerset Heritage Centre,Green Notes,Petersfield_1727a,
Petersfield_1734a/1,M,DD/HY/8/2/4,Somerset Heritage Centre,Green Notes,Petersfield_1734a,
Petersfield_1741a/1,M,DD/HY/8/2/4,Somerset Heritage Centre,Green Notes,Petersfield_1741a,
Petersfield_1774a/1,M,DD/HY/8/2/4,Somerset Heritage Centre,Green Notes,Petersfield_1774a,
Petersfield_1830a/1,P,,GL,Gibson and Rogers,Petersfield_1830a,Possibly cavasser's book.
Portsmouth_1713a/1,M,,Portsmouth History Centre,Gibson and Rogers,Portsmouth_1713a,
Portsmouth_1715a/1,M,,Portsmouth History Centre,Gibson and Rogers,Portsmouth_1715a,
Portsmouth_1741b/1,M,,Portsmouth History Centre,Gibson and Rogers,Portsmouth_1741b,
Portsmouth_1774a/1,P,"A list of the burgesses who voted for a representative in parliament for the borough of Portsmouth…March 1774', London Evening Post, 9 Apr. 1774.","BL, IHR",Green,Portsmouth_1774a,
Portsmouth_1774b/1,M,,Portsmouth History Centre,Gibson and Rogers,Portsmouth_1774b,
Portsmouth_1777a/1,M,,Portsmouth History Centre,Gibson and Rogers,Portsmouth_1777a,
Portsmouth_1780a/1,M,,Portsmouth History Centre,Gibson and Rogers,Portsmouth_1780a,
Portsmouth_1820a/1,M,,Portsmouth History Centre,Gibson and Rogers,Portsmouth_1820a,
Southampton_1705a/1,M,MSS F1-16,Blenheim Palace,Speck,Southampton_1705a,
Southampton_1727a/1,M,,Southampton Archives,Gibson and Rogers,Southampton_1727a,
Southampton_1734a/1,P,"A true copy of the poll... (n.p., [1734])",Hampshire RO,Gibson and Rogers,Southampton_1734a,
Southampton_1737a/1,M,,Southampton Archives,Gibson and Rogers,Southampton_1737a,
Southampton_1741a/1,P,"A true copy of the poll…  ([Southampton, 1741])",BL,Green; Gibson and Rogers,Southampton_1741a,
Southampton_1741a/2,M,,Southampton Archives,Gibson and Rogers,Southampton_1741a,
Southampton_1747a/1,P,"A true copy of the poll… ([Southampton], 1747)","Huntington Library, San Marino, IHR",Green Notes,Southampton_1747a,
Southampton_1774a/1,P,"A true copy of the poll… (Southampton: T. Baker, 1774)","Southampton UL, IHR",Sims,Southampton_1774a,
Southampton_1774a/2,M,,Southampton Archives,Gibson and Rogers,Southampton_1774a,
Southampton_1780b/1,P,"Copy of the poll at the election… (Southampton: T. Ford, [1780])",Hampshire RO,Green Notes,Southampton_1780b,
Southampton_1780b/2,M,10M55/115,Hampshire RO,Green Notes,Southampton_1780b,
Southampton_1790a/1,P,"Copy of the poll… (Southampton: A. Cunningham, [1790])","Var. Southampton CL, Southampton Archives, Southampton UL, GL, IHR",Sims; Gibson and Rogers,Southampton_1790a,
Southampton_1790a/2,P,"An alphabetical list of the voters… (Southampton: T. Baker, [1790])","Var. Southampton CL, Southampton Archives, Southampton UL, GL, IHR",Sims; Gibson and Rogers,Southampton_1790a,
Southampton_1790a/3,P,"Independence: or, a correct list of the independent commercial gentlemen tradesmen who voted for Mr. Dawkins... Copied from the printed poll book (n.p., [1790])","Var. Southampton CL, Southampton Archives, Southampton UL, GL, IHR",Sims; Gibson and Rogers,Southampton_1790a,
Southampton_1794a/1,P,"An alphabetical list of the voters… (Southampton: T. Skelton, [1794])","Var. Southampton CL, Southampton Archives, Southampton UL, IHR",Sims; Gibson and Rogers,Southampton_1794a,
Southampton_1794a/2,P,"A copy of the poll… ([Southampton]: Baker, [1794])","Var. Southampton CL, Southampton Archives, Southampton UL, IHR",Sims; Gibson and Rogers,Southampton_1794a,
Southampton_1802a/1,P,"An alphabeitcal list of the voters… (Southampton: T. Skelton, [1802])","Southampton CL, Southampton UL, IHR",Sims; Gibson and Rogers,Southampton_1802a,
Southampton_1806a/1,P,"An alphabeitcal list of the voters… (Southampton: T. Skelton, [1806])","Southampton CL, IHR",Sims; Gibson and Rogers,Southampton_1806a,
Southampton_1806a/2,P,"Copy of the poll… (Baker & Fletcher, [1806])","Southampton UL, IHR",Sims; Gibson and Rogers,Southampton_1806a,
Southampton_1806a/3,M,,Southampton Archives,Gibson and Rogers,Southampton_1806a,Also available at GL.
Southampton_1812a/1,P,"An alphabetical list of the voters… (Southampton: T. Skelton, [1812])","Var. Southampton CL, Southampton Archives, Southampton UL, IHR",Sims; Gibson and Rogers,Southampton_1812a,
Southampton_1812a/2,P,"Copy of the poll… ([Southampton]: T. Baker for I. Fletcher, [1812])","Var. Southampton CL, Southampton Archives, Southampton UL, IHR",Sims; Gibson and Rogers,Southampton_1812a,
Southampton_1818b/1,P,"Alphabetical list of the voters… (Southampton: E. Skelton, [1818])","Var. Southampton CL, Southampton UL, IHR",Sims; Gibson and Rogers,Southampton_1818b,
Southampton_1818b/2,P,"Copy of the poll… ([Southampton]: T. Baker, [1818])","Var. Southampton CL, Southampton UL, IHR",Sims; Gibson and Rogers,Southampton_1818b,
Southampton_1820a/1,P,"Alphabetical list of the voters… (Southampton: P. Barnfield, [1820])","Var. Hampshire RO, Southampton CL, Southampton UL, IHR",Sims; Gibson and Rogers,Southampton_1820a,
Southampton_1820a/2,P,"Alphabetical list of the voters… (Southampton: T. Baker, for I. Fletcher, [1820])","Var. Hampshire RO, Southampton CL, Southampton UL, IHR",Sims; Gibson and Rogers,Southampton_1820a,
Southampton_1820a/3,M,,Southampton Archives,Gibson and Rogers,Southampton_1820a,
Southampton_1830a/1,P,"Alphabetical list of the voters… (Southampton: J. Coupland, [1831])","Southampton CL, IHR",Sims; Gibson and Rogers,Southampton_1830a,
Southampton_1830a/2,M,,Southampton Archives,Gibson and Rogers,Southampton_1830a,
Southampton_1831a/1,P,"Alphabetical list of the voters… (Southampton: Thomas King, [1831])","Southampton UL, IHR",Sims; Gibson and Rogers,Southampton_1831a,
Southampton_1831a/2,P,"List of the voters… (Southampton: John Fletcher, [1831])","Southampton UL, IHR",Sims; Gibson and Rogers,Southampton_1831a,
Southampton_1831a/3,M,,Southampton Archives,Gibson and Rogers,Southampton_1831a,
Winchester_1715a/1,P,"A list of the corporation of Winchester, with an account of who voted for an against… ([?London], 1715)",Society of Antiquaries Library,Green,Winchester_1715a,
Winchester_1715a/2,M,W/B9/2/6,Hampshire RO,Gibson and Rogers,Winchester_1715a,
Winchester_1734a/1,M,"W/K5/3, f. 65b",Hampshire RO,Gibson and Rogers,Winchester_1734a,
Heref_1710a/1,P,,Hereford CL,Speck,Heref_1710a,
Heref_1722a/1,P,"A copy of the poll… (Hereford: W. Parks, [1722])","Hereford CL, GL, NLW",Sims; Gibson and Rogers,Heref_1722a,
Heref_1754a/1,P,"A copy of the poll… (Gloucester, 1754)","Hereford CL, BL, IHR, NLW",Sims; Gibson and Rogers,Heref_1754a,
Heref_1774a/1,P,"An alphabetical list of the poll… (Hereford: C. Pugh, 1774)","Hereford CL, BL, GL, NLW",Sims; Gibson and Rogers,Heref_1774a,
Heref_1796a/1,P,"An alphabetical list of the poll… (Hereford: D. Walker, 1796)","Hereford CL, BL, Bodl., GL, NLW, SoG",Sims; Gibson and Rogers; Edwards,Heref_1796a,
Heref_1802a/1,P,"An alphabetical list of the poll… (Hereford: W. H. Parker, 1802)","Hereford CL, Hereford RO, BL, Bodl., IHR, NLW, SoG",Sims; Gibson and Rogers; Edwards,Heref_1802a,
Heref_1818a/1,P,"A list of the poll… (Hereford: Watking & Wright, 1818)","Hereford CL, Hereford RO, BL, GL, IHR, NLW, SoG",Sims; Gibson and Rogers; Edwards,Heref_1818a,
Hereford_1734a/1,M,,Gloucestershire Archives,Green Notes,Hereford_1734a,
Hereford_1741a/1,P,"An alphabetical copy of the poll… (Gloucester: R. Wilde, [1741])","Hereford CL, Bodl., GL, IHR, NLW",Sims; Gibson and Rogers,Hereford_1741a,
Hereford_1747a/1,P,"An alphabetical copy of the poll… (Hereford: R. Wilde, 1747)","Hereford CL, IHR",Sims; Gibson and Rogers,Hereford_1747a,
Hereford_1754a/1,P,"The names of the freemen… who voted for James Peachy… (n.p., [1754])","Hereford CL, IHR",Sims; Gibson and Rogers,Hereford_1754a,Broadsheet.
Hereford_1761a/1,P,"An alphabetical copy of the poll… (n.p., [1761])","Hereford CL, BL, IHR, NLW",Sims; Gibson and Rogers,Hereford_1761a,
Hereford_1818a/1,P,"A list of the poll... (Hereford: Watkins & Wright, 1818)","Var. Hereford CL, Hereford RO, BL, GL, IHR, NLW, SoG",Sims; Gibson and Rogers; Edwards,Hereford_1818a,
Hereford_1818a/2,P,"An alphabetical list of the poll… (Hereford: E. G. Wright, [1818])","Var. Hereford CL, Hereford RO, BL, GL, IHR, NLW, SoG",Sims; Gibson and Rogers; Edwards,Hereford_1818a,
Hereford_1826a/1,P,"A list of the freemen… (Hereford: W. H. & J. Parker, [1826])","Var. Hereford CL, Hereford RO, Bodl., IHR, SoG",Sims; Gibson and Rogers; Edwards,Hereford_1826a,
Hereford_1826a/2,P,"A list of the poll… (Hereford: Davies & Son, [1826])","Var. Hereford CL, Hereford RO, Bodl., IHR, SoG",Sims; Gibson and Rogers; Edwards,Hereford_1826a,
Leominster_1741a/1,P,"An exact copy of the poll… (n.p., 1741)",BL,Sims; Gibson and Rogers,Leominster_1741a,Broadsheet.
Leominster_1742a/1,P,"An alphabetical list of the poll… (n.p., 1742)","NLW, IHR",Sims; Gibson and Rogers,Leominster_1742a,
Leominster_1780a/1,P,"An alphabetical list of the poll… (Leominster: P. Davis, [1780]), in J. Allen, Bibliotheca Herefordiensis (Hereford, 1821)",Leominster Museum,Green Notes,Leominster_1780a,Broadsheet.
Leominster_1784a/1,P,"An alphabetical list of the poll… (Leominster: P. Davis, [1784]), in J. Allen, Bibliotheca Herefordiensis (Hereford, 1821)",Leominster Museum,Green Notes,Leominster_1784a,Broadsheet.
Leominster_1790a/1,P,"An alphabetical list of the poll… (n.p., [1790]), in J. Allen, Bibliotheca Herefordiensis (Hereford, 1821)",Leominster Museum,Green Notes,Leominster_1790a,Broadsheet. Uncertain.
Leominster_1796a/1,P,"An alphabetical state of the poll… (Hereford: W. H. Parker, [1796])","Hereford CL, IHR, NLW, SoG",Sims; Gibson and Rogers; Edwards,Leominster_1796a,
Leominster_1797a/1,P,"An alphabetical state of the poll… (Hereford: W. H. Parker, [1797])","Hereford CL, Hereford RO, GL",Sims; Gibson and Rogers,Leominster_1797a,
Leominster_1802a/1,P,"An alphabetical state of the poll… (Leominster: J. Barrell, 1802)","Hereford CL, IHR",Sims; Gibson and Rogers,Leominster_1802a,
Leominster_1812a/1,P,"An alphabetical list of the electors… (Leominster: F. Went, 1813)","Hereford CL, IHR",Sims; Gibson and Rogers,Leominster_1812a,
Leominster_1818a/1,P,"An alphabetical list of the poll… (Leominster: F. J. Burlton, 1819)","Hereford CL, IHR",Sims; Gibson and Rogers,Leominster_1818a,
Leominster_1820a/1,P,"An alphabetical list of the poll… (Leominster: Burlton, [1820])","Hereford CL, IHR",Sims; Gibson and Rogers,Leominster_1820a,
Leominster_1826a/1,P,"An alphabetical list of the poll… (Leominster: Burlton, [1826])","Hereford CL, IHR",Sims; Gibson and Rogers,Leominster_1826a,
Leominster_1831a/1,P,"An alphabetical list of the poll… (Leominster: J. V. Chilcott, [1831])","Hereford CL, IHR",Sims; Gibson and Rogers,Leominster_1831a,
Herts_1697a/1,M,QPE/1-2,Hertfordshire Archives,Gibson and Rogers,Herts_1697a,
Herts_1705a/1,P,"A copy of the poll… (n.p., [1705])","IHR, SoG",Sims; Gibson and Rogers; Edwards,Herts_1705a,
Herts_1708a/1,M,DE/X294/Z1,Hertfordshire Archives,Gibson and Rogers,Herts_1708a,Incomplete.
Herts_1715a/1,M,QPE/5,Hertfordshire Archives,Gibson and Rogers,Herts_1715a,
Herts_1715a/2,M,18809,Hertfordshire Archives,Gibson and Rogers,Herts_1715a,Incomplete.
Herts_1722a/1,P,"A copy of the poll… (London, 1722)","Hertfordshire Archives, IHR",Sims; Gibson and Rogers,Herts_1722a,
Herts_1722a/2,M,QPE/6-12,Hertfordshire Archives,Gibson and Rogers,Herts_1722a,
Herts_1727a/1,P,"A copy of the poll… (n.p., [1727])","Hertfordshire Archives, BL, Essex RO, Bodl., GL, IHR, SoG",Sims; Gibson and Rogers; Edwards,Herts_1727a,
Herts_1727a/2,M,QPE/14-20,Hertfordshire Archives,Gibson and Rogers,Herts_1727a,
Herts_1734a/1,P,"A copy of the poll… (London, 1734)","Hertfordshire Archives, BL, Essex RO, Bodl., GL, IHR, SoG",Sims; Gibson and Rogers; Edwards,Herts_1734a,
Herts_1734a/2,M,QPE/22-31,Hertfordshire Archives,Gibson and Rogers,Herts_1734a,
Herts_1736a/1,M,QPE/32-38,Hertfordshire Archives,Gibson and Rogers,Herts_1736a,
Herts_1736a/2,M,DE/Hl/F137,Hertfordshire Archives,Green Notes; Gibson and Rogers,Herts_1736a,Copy.
Herts_1754a/1,P,"A copy of the poll… (London: Thomas Trye, 1754)","Hertfordshire Archives, IHR, BL, GL, Bodl., SoG (also index to non-resident voters)",Sims; Gibson and Rogers; Edwards,Herts_1754a,
Herts_1754a/2,M,QPE/39-62,Hertfordshire Archives,Gibson and Rogers,Herts_1754a,
Herts_1754a/3,M,51159-61,Hertfordshire Archives,Gibson and Rogers,Herts_1754a,Incomplete.
Herts_1761a/1,P,"A copy of the poll… (London: C. Bathurst, 1761)","Hertfordshire Archives, Essex RO, Bodl., IHR, GL,  SoG (index to non-resident voters only)",Sims; Gibson and Rogers; Edwards,Herts_1761a,
Herts_1761a/2,M,QPE/63-87a,Hertfordshire Archives,Gibson and Rogers,Herts_1761a,
Herts_1774a/1,P,"A copy fo the poll… (Hertford: Stephen Austin, 1775)","Hertfordshire Archives, Hertfordshire Local Studies Collection, BL, Bodl., GL, IHR, Manchester UL, SoG (also index to non-resident voters)",Sims; Gibson and Rogers; Edwards,Herts_1774a,
Herts_1774a/2,M,QPE/88-111; 112-131,Hertfordshire Archives,Gibson and Rogers,Herts_1774a,Two copies.
Herts_1784a/1,P,"A copy of the poll… (Hertford: Stephen Austin, 1784)","Hertfordshire Archives, St. Albans CL, BL, Bodl., GL, IHR, SoG (also index to non-resident voters)",Sims; Gibson and Rogers; Edwards,Herts_1784a,
Herts_1784a/2,M,18816,Hertfordshire Archives,Green Notes,Herts_1784a,
Herts_1784a/3,M,DE/X17,Hertfordshire Archives,Green Notes,Herts_1784a,
Herts_1790a/1,P,"A copy of the poll… (Hertford: Stephen Austin, 1790)","Hertfordshire Archives, BL, Bodl., GL, IHR, SoG (also index to non-resident voters)",Sims; Gibson and Rogers; Edwards,Herts_1790a,
Herts_1790a/2,M,QPE/132-151,Hertfordshire Archives,Gibson and Rogers,Herts_1790a,
Herts_1790a/3,M,18817,Hertfordshire Archives,Green Notes,Herts_1790a,Incomplete.
Herts_1796a/1,P,"A copy of the poll… (Hertford: Stephen Austin, 1796)","Hertfordshire Archives, St. Albans CL, Bodl., GL, SoG (index to non-resident voters only)",Sims; Gibson and Rogers; Edwards,Herts_1796a,
Herts_1796a/2,M,QPE/152-167,Hertfordshire Archives,Gibson and Rogers,Herts_1796a,
Herts_1796a/3,M,18818-9,Hertfordshire Archives,Green Notes,Herts_1796a,
Herts_1802a/1,P,"A copy of the poll… (Herford: St. Austin, 1802)","St. Albans CL, IHR, BL, Bodl., GL, Huntingdon Archives, Manchester UL, SoG (also index to non-resident voters)",Sims; Gibson and Rogers; Edwards,Herts_1802a,
Herts_1802a/2,M,QPE/168-182,Hertfordshire Archives,Gibson and Rogers,Herts_1802a,
Herts_1802a/3,M,DE/P/F439,Hertfordshire Archives,Green Notes,Herts_1802a,
Herts_1805a/1,P,"A copy of the poll… (Hertford: Austin, [1805])","Hertfordshire Archives, St. Albans CL, BL, Essex RO, Bodl., GL, IHR, SoG",Sims; Gibson and Rogers; Edwards,Herts_1805a,
Herts_1805a/2,M,QPE/183-201,Hertfordshire Archives,Gibson and Rogers,Herts_1805a,
Herts_1805a/3,M,18820-21,Hertfordshire Archives,Green Notes,Herts_1805a,
Herts_1805a/4,M,DE/X582/Z1,Hertfordshire Archives,Gibson and Rogers,Herts_1805a,Out-county voters only.
Herts_1805a/5,M,DE/P/F441,Hertfordshire Archives,Green Notes,Herts_1805a,
Herts_1818a/1,M,QPE/87B,Hertfordshire Archives,Gibson and Rogers,Herts_1818a,St. Albans voters only.
Hertford_1695a/1,M,Hertford Borough Records,Hertfordshire Archives,HoP,Hertford_1695a,
Hertford_1698a/1,M,Hertford Borough Records,Hertfordshire Archives,HoP,Hertford_1698a,
Hertford_1701a/1,M,Hertford Borough Records,Hertfordshire Archives,HoP,Hertford_1701a,
Hertford_1701b/1,M,Hertford Borough Records,Hertfordshire Archives,HoP,Hertford_1701b,
Hertford_1701c/1,M,Hertford Borough Records,Hertfordshire Archives,HoP,Hertford_1701c,
Hertford_1705a/1,M,Hertford Borough Records,Hertfordshire Archives,HoP,Hertford_1705a,
Hertford_1708a/1,M,Hertford Borough Records,Hertfordshire Archives,HoP,Hertford_1708a,
Hertford_1710a/1,M,Hertford Borough Records,Hertfordshire Archives,HoP,Hertford_1710a,
Hertford_1715a/1,M,Hertford Borough Records,Hertfordshire Archives,Speck,Hertford_1715a,
Hertford_1722a/1,M,DE/P/F93,Hertfordshire Archives,Green Notes,Hertford_1722a,
Hertford_1727a/1,M,DE/P/F273,Hertfordshire Archives,Green Notes; Gibson and Rogers,Hertford_1727a,
Hertford_1831a/1,P,,Present location unavailable,Sims; Gibson and Rogers,Hertford_1831a,
StAlbans_1727a/1,M,6536/8,Surrey History Centre,Green Notes,StAlbans_1727a,
StAlbans_1743a/1,M,DE/V/O80,Hertfordshire Archives,Green Notes,StAlbans_1743a,
StAlbans_1780a/1,M,DE/R/O41,Hertfordshire Archives,Gibson and Rogers,StAlbans_1780a,
StAlbans_1796a/1,M,DE/V/O80,Hertfordshire Archives,Green Notes,StAlbans_1796a,
StAlbans_1796a/2,M,SBR/4102,Hertfordshire Archives,Green Notes,StAlbans_1796a,
StAlbans_1806a/1,M,DE/V/O80,Hertfordshire Archives,Green Notes,StAlbans_1806a,
StAlbans_1807a/1,P,"A copy of the poll… (London: W. M'Dowall, 1807)","Bodl., IHR",Sims; Gibson and Rogers,StAlbans_1807a,
